case,trial,method,baseline_mse,detail_correlation,endpoint_error
weak_oscillation_strong_curvature,33,gaussian_oracle,2.1221895153253695e-06,0.004932300681384672,
endpoint_outlier,33,hcrd_raw,0.047265587556976726,,2.948815311468471
endpoint_outlier,33,hcrd_thresholded,2.9041650541734443,,2.948815311468471
endpoint_outlier,33,hcrd_adaptive_guided,0.03705666686623434,,1.0433996621705204
endpoint_outlier,33,gaussian_oracle,0.09873720646668357,,0.8940817756768695
irregular_grid_affine_plus_sine,33,hcrd_raw,0.00046389972475231544,0.9995300974371969,
weak_oscillation_strong_curvature,34,hcrd_raw,8.516699155171713,0.0004903835641135731,
weak_oscillation_strong_curvature,34,hcrd_thresholded,8.516699155171713,0.0004903835641135731,
weak_oscillation_strong_curvature,34,hcrd_adaptive_guided,7.950829084460891,0.0006875070086394607,
weak_oscillation_strong_curvature,34,gaussian_oracle,2.3921570252381493e-06,0.012100034969183451,
endpoint_outlier,34,hcrd_raw,0.03505464040062698,,2.494658704624107
endpoint_outlier,34,hcrd_thresholded,2.0784923261469093,,2.494658704624107
endpoint_outlier,34,hcrd_adaptive_guided,0.033734957938686236,,0.8604586141011019
endpoint_outlier,34,gaussian_oracle,0.06680476060619758,,0.7032419745788809
irregular_grid_affine_plus_sine,34,hcrd_raw,0.0006626359663328815,0.999344521298962,
weak_oscillation_strong_curvature,35,hcrd_raw,8.516699155171713,0.0004156501513338581,
weak_oscillation_strong_curvature,35,hcrd_thresholded,8.516699155171713,0.0004156501513338581,
