configuration,join_ratio,curvature_ratio,certified_region,trials,aware_exact_probability,aware_wilson_low,aware_wilson_high,naive_exact_probability,naive_wilson_low,naive_wilson_high,aware_minus_naive_exact,aware_mean_knot_f1,naive_mean_knot_f1,aware_mean_localisation_error_widths,naive_mean_localisation_error_widths,theorem_implication_violations,noise_only_theorem_implication_violations
"K=8,m=16,n=129",1.0,4.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",1.5,1.5,0,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.311,0.2830785879940784,0.34036792671346144,-0.311,0.0,0.8455714285714284,8.0625,0.0430625,0,0
"K=8,m=16,n=129",1.5,2.0,0,1000,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.996173241514445,1.0,-1.0,0.0010666666666666667,1.0,5.4188125,0.0,0,0
"K=8,m=16,n=129",1.5,2.25,0,1000,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.996173241514445,1.0,-1.0,0.04931858141858142,1.0,0.851875,0.0,0,0
"K=8,m=16,n=129",1.5,2.5,0,1000,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.996173241514445,1.0,-1.0,0.37471428571428567,1.0,0.1615,0.0,0,0
"K=8,m=16,n=129",1.5,2.75,0,1000,0.291,0.2636897827038124,0.3199098023431496,1.0,0.996173241514445,1.0,-0.709,0.8388571428571427,1.0,0.0711875,0.0,0,0
"K=8,m=16,n=129",1.5,3.0,0,1000,0.887,0.8658784472486151,0.9051596416835653,1.0,0.996173241514445,1.0,-0.113,0.9824285714285715,1.0,0.0098125,0.0,0,0
"K=8,m=16,n=129",1.5,3.5,0,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",1.5,4.0,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",1.5,4.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",2.0,1.5,0,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,2.168404344971009e-19,0.0038267584855551234,0.0,0.0,0.1137142857142857,8.0625,0.0625,0,0
"K=8,m=16,n=129",2.0,2.0,0,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.556,0.5250491625099077,0.5865222405397102,-0.556,0.0,0.9195714285714287,8.0625,0.02775,0,0
"K=8,m=16,n=129",2.0,2.25,0,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.983,0.9729440411597701,0.9893593101431837,-0.983,0.0,0.9975714285714286,7.9605,0.0010625,0,0
"K=8,m=16,n=129",2.0,2.5,0,1000,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.996173241514445,1.0,-1.0,0.00065,1.0,5.4970625,0.0,0,0
"K=8,m=16,n=129",2.0,2.75,0,1000,0.0,2.168404344971009e-19,0.0038267584855551234,1.0,0.996173241514445,1.0,-1.0,0.062337895437895426,1.0,0.9421875,0.0,0,0
"K=8,m=16,n=129",2.0,3.0,0,1000,0.001,0.00017654637062607852,0.0056425585979579355,1.0,0.996173241514445,1.0,-0.999,0.42028571428571426,1.0,0.1615,0.0,0,0
"K=8,m=16,n=129",2.0,3.5,0,1000,0.888,0.8669499763240903,0.906080459091119,1.0,0.996173241514445,1.0,-0.112,0.9831428571428572,1.0,0.010375,0.0,0,0
"K=8,m=16,n=129",2.0,4.0,0,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",2.0,4.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",0.0,1.5,0,1000,0.772,0.7449850163320579,0.7969332270518001,0.772,0.7449850163320579,0.7969332270518001,0.0,0.9632857142857144,0.9632857142857144,0.035625,0.035625,0,0
"K=8,m=8,n=65",0.0,2.0,0,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",0.0,2.25,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",0.0,2.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",0.0,2.75,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",0.0,3.0,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",0.0,3.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",0.0,4.0,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",0.0,4.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",0.25,1.5,0,1000,0.158,0.13670765691270592,0.1819098458914138,0.807,0.781383383844143,0.8302669864457263,-0.649,0.7644285714285713,0.9698571428571429,0.160125,0.030125,0,0
"K=8,m=8,n=65",0.25,2.0,0,1000,0.992,0.9842936654690199,0.995940804181194,1.0,0.996173241514445,1.0,-0.008,0.9988571428571429,1.0,0.00125,0.0,0,0
"K=8,m=8,n=65",0.25,2.25,0,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",0.25,2.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",0.25,2.75,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",0.25,3.0,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",0.25,3.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",0.25,4.0,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",0.25,4.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",0.5,1.5,0,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.88,0.8583909241522872,0.8987007393986909,-0.88,0.3379560439560439,0.9811428571428571,0.31325,0.017375,0,0
"K=8,m=8,n=65",0.5,2.0,0,1000,0.846,0.8223081403024968,0.8670437428254991,1.0,0.996173241514445,1.0,-0.154,0.9761428571428571,1.0,0.025875,0.0,0,0
"K=8,m=8,n=65",0.5,2.25,0,1000,0.996,0.9897604437227377,0.9984434118595916,1.0,0.996173241514445,1.0,-0.004,0.9994285714285714,1.0,0.0005,0.0,0,0
"K=8,m=8,n=65",0.5,2.5,0,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",0.5,2.75,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",0.5,3.0,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",0.5,3.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",0.5,4.0,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",0.5,4.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",1.0,1.5,0,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.995,0.9883490446266249,0.9978624644726756,-0.995,0.0026500000000000004,0.9992857142857142,6.31,0.000625,0,0
"K=8,m=8,n=65",1.0,2.0,0,1000,0.002,0.000548643588120728,0.007262807863492177,1.0,0.996173241514445,1.0,-0.998,0.42383516483516487,1.0,0.318625,0.0,0,0
"K=8,m=8,n=65",1.0,2.25,0,1000,0.255,0.2289585370509225,0.2829165746069995,1.0,0.996173241514445,1.0,-0.745,0.8292857142857142,1.0,0.1605,0.0,0,0
"K=8,m=8,n=65",1.0,2.5,0,1000,0.865,0.8424178447972049,0.8847886215083399,1.0,0.996173241514445,1.0,-0.135,0.9800000000000001,1.0,0.025,0.0,0,0
"K=8,m=8,n=65",1.0,2.75,0,1000,0.987,0.9778855576244203,0.9923871796106489,1.0,0.996173241514445,1.0,-0.013,0.9981428571428571,1.0,0.002125,0.0,0,0
"K=8,m=8,n=65",1.0,3.0,0,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",1.0,3.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",1.0,4.0,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",1.0,4.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=8,n=65",1.5,1.5,0,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.894,0.8733895811764342,0.9115949331369485,-0.894,0.0,0.9837142857142858,8.125,0.01325,0,0
