noise_sigma,latent_index,method,mean_pairwise_jaccard,mean_knot_count,mean_target_knot_f1,mean_pointwise_baseline_variance
0.01,17,hcrd_guided,1.0,11.0,0.2625,0.00018221453218524833
0.01,17,hcrd_adaptive_guided,0.9353535353535356,9.4,0.2785714285714286,0.0012514016666671807
0.01,18,hcrd_raw,0.7933950844157358,105.4,0.12324795424316451,0.0002831056253012324
0.01,18,hcrd_robust,0.8703703703703703,2.2,0.025,0.02421406053371392
0.01,18,hcrd_guided,1.0,11.0,0.25,0.0002867544199668138
0.01,18,hcrd_adaptive_guided,0.9636363636363637,9.2,0.28214285714285714,0.001186322272763788
0.01,19,hcrd_raw,0.7585760172126328,102.1,0.11948696350412424,0.00030838583642845015
0.01,19,hcrd_robust,1.0,2.0,0.0,4.1279564772111126e-05
0.01,19,hcrd_guided,1.0,11.0,0.225,0.0008202197728925678
0.01,19,hcrd_adaptive_guided,0.9151515151515153,9.6,0.24821428571428567,0.002865703333416417
0.01,20,hcrd_raw,0.7403614310085069,101.3,0.12634190513803795,0.00042905400381258073
0.01,20,hcrd_robust,1.0,2.0,0.0,2.9680129790500217e-05
0.01,20,hcrd_guided,1.0,11.0,0.45,0.0012498141254927483
0.01,20,hcrd_adaptive_guided,0.9030303030303033,9.8,0.48571428571428565,0.003577760711790911
0.01,21,hcrd_raw,0.7382766703333716,98.7,0.1332647159766859,0.0005619590291270219
0.01,21,hcrd_robust,1.0,2.0,0.0,9.503342407490742e-05
0.01,21,hcrd_guided,1.0,11.0,0.35,0.0008373789796797943
0.01,21,hcrd_adaptive_guided,0.9151515151515153,9.6,0.3857142857142857,0.0026867785216601278
0.01,22,hcrd_raw,0.6354893006440528,89.1,0.1468672658215602,0.0009717337402122718
0.01,22,hcrd_robust,1.0,2.0,0.0,5.5328152671930026e-05
0.01,22,hcrd_guided,1.0,11.0,0.6375,0.0013788633441749357
0.01,22,hcrd_adaptive_guided,1.0,11.0,0.65,0.0015033874597693332
0.01,23,hcrd_raw,0.729230171883544,99.3,0.12681505477399174,0.0003465828064803534
0.01,23,hcrd_robust,1.0,2.0,0.0,7.315241729762946e-05
0.01,23,hcrd_guided,0.9925925925925927,11.0,0.6250000000000001,0.001225994072396665
0.01,23,hcrd_adaptive_guided,0.9282828282828285,9.4,0.6964285714285714,0.002680198258364513
0.01,24,hcrd_raw,0.8175242512912092,108.6,0.12147850813160459,0.00018951878992952878
0.01,24,hcrd_robust,1.0,2.0,0.0,4.306315041208706e-05
0.01,24,hcrd_guided,1.0,11.0,0.4125,0.000621004923938164
0.01,24,hcrd_adaptive_guided,0.9444444444444443,9.5,0.4428571428571428,0.0016272556966393553
0.01,25,hcrd_raw,0.7812476385080316,105.8,0.12474625567837964,0.0004902506395498248
