cell,signal,design,n,trial,target_left,target_right,hct_left,hct_right,hct_width,hct_empty,hct_covers_target,hct_nontrivial,joint_contrast_coverage,unexplained_empty,positive_contrast_count,negative_contrast_count,hct_runtime_seconds
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,129,0.3,0.3,0.29936416680551214,0.3024275463246728,0.003063379519160636,False,True,True,True,False,45,43,0.0019172000465914607
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,130,0.3,0.3,0.29868342533283077,0.30072562263601277,0.002042197303182003,False,True,True,True,False,44,48,0.0017242999747395515
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,131,0.3,0.3,0.29868342533283077,0.3003852573697871,0.0017018320369563411,False,True,True,True,False,47,49,0.0017648999928496778
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,132,0.3,0.3,0.29868342533283077,0.30106599189954186,0.0023825665667110973,False,True,True,True,False,43,45,0.0019490999984554946
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,133,0.3,0.3,0.29868342533283077,0.30106599189954186,0.0023825665667110973,False,True,True,True,False,48,53,0.0017009999719448388
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,134,0.3,0.3,0.29868342533283077,0.30072562263601277,0.002042197303182003,False,True,True,True,False,45,49,0.0014743999927304685
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,135,0.3,0.3,0.29868342533283077,0.30106599189954186,0.0023825665667110973,False,True,True,True,False,46,45,0.0014173999661579728
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,136,0.3,0.3,0.29936416680551214,0.30106599189954186,0.0017018250940297186,False,True,True,True,False,46,50,0.0014731999835930765
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,137,0.3,0.3,0.29936416680551214,0.30072562263601277,0.0013614558305006241,False,True,True,True,False,47,49,0.0013660999829880893
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,138,0.3,0.3,0.29936416680551214,0.3003852573697871,0.0010210905642749624,False,True,True,True,False,47,49,0.0012889999779872596
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,139,0.3,0.3,0.299023798767047,0.30072562263601277,0.0017018238689657794,False,True,True,True,False,45,48,0.0016414999845437706
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,140,0.3,0.3,0.2959600166546686,0.30378931405525145,0.007829297400582858,False,True,True,True,False,41,42,0.0015451000072062016
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,141,0.3,0.3,0.29766225377877675,0.30106599189954186,0.0034037381207651096,False,True,True,True,False,44,44,0.0016573999891988933
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,142,0.3,0.3,0.29868342533283077,0.30106599189954186,0.0023825665667110973,False,True,True,True,False,46,47,0.0014468000154010952
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,143,0.3,0.3,0.2980026547291801,0.30072562263601277,0.002722967906832685,False,True,True,True,False,46,47,0.001577800023369491
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,144,0.3,0.3,0.29868342533283077,0.3003852573697871,0.0017018320369563411,False,True,True,True,False,48,50,0.0015596000012010336
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,145,0.3,0.3,0.6290417678468015,0.30106599189954186,nan,True,False,False,False,False,49,51,0.0019033999997191131
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,146,0.3,0.3,0.40537509724809095,0.3003852573697871,nan,True,False,False,False,False,48,48,0.0017866999842226505
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,147,0.3,0.3,0.3171020287634921,0.3003852573697871,nan,True,False,False,False,False,47,49,0.0018131000106222928
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,148,0.3,0.3,0.299023798767047,0.3024275463246728,0.0034037475576257914,False,True,True,True,False,44,47,0.0015431999927386642
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,149,0.3,0.3,0.29868342533283077,0.3003852573697871,0.0017018320369563411,False,True,True,True,False,45,48,0.0016294000088237226
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,150,0.3,0.3,0.29868342533283077,0.3003852573697871,0.0017018320369563411,False,True,True,True,False,46,49,0.0019429000094532967
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,151,0.3,0.3,0.299023798767047,0.30106599189954186,0.002042193132494874,False,True,True,True,False,44,48,0.001987600000575185
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,152,0.3,0.3,0.29868342533283077,0.30072562263601277,0.002042197303182003,False,True,True,True,False,42,44,0.0018253999878652394
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,153,0.3,0.3,0.29936416680551214,0.30106599189954186,0.0017018250940297186,False,True,True,True,False,50,50,0.0017376000178046525
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,154,0.3,0.3,0.29868342533283077,0.3003852573697871,0.0017018320369563411,False,True,True,True,False,46,52,0.0015476999687962234
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,155,0.3,0.3,0.29936416680551214,0.3003852573697871,0.0010210905642749624,False,True,True,True,False,46,50,0.001660600013565272
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,156,0.3,0.3,0.299023798767047,0.30106599189954186,0.002042193132494874,False,True,True,True,False,42,45,0.0016134000034071505
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,157,0.3,0.3,0.29936416680551214,0.3003852573697871,0.0010210905642749624,False,True,True,True,False,48,52,0.001638100016862154
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,158,0.3,0.3,0.299023798767047,0.30106599189954186,0.002042193132494874,False,True,True,True,False,45,49,0.0013248000177554786
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,159,0.3,0.3,0.299023798767047,0.30106599189954186,0.002042193132494874,False,True,True,True,False,46,48,0.0016199000529013574
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,160,0.3,0.3,0.29868342533283077,0.30072562263601277,0.002042197303182003,False,True,True,True,False,44,46,0.0017069000168703496
