noise_sigma,regularization,latent_index,knot_jaccard,guide_l2_ratio,hcrd_baseline_l2_ratio
0.01,0.001,2,0.6,0.5837313975794345,13.19288519466177
0.01,0.001,2,0.5555555555555556,0.505965575130513,26.107404266512148
0.01,0.001,2,0.625,0.5583643935029273,21.915682816954387
0.01,0.001,2,0.5555555555555556,0.5530698077665249,23.053961670483204
0.01,0.001,3,0.75,0.5465074331302939,22.319257078530786
0.01,0.001,3,0.6,0.5459401873880111,22.3542332120616
0.01,0.001,3,0.5625,0.5663360428507263,32.33935453782672
0.01,0.001,3,0.6428571428571429,0.5626297089750336,20.269219512291755
0.01,0.001,3,0.75,0.5067005252905068,18.33564782116947
0.01,0.001,3,0.6923076923076923,0.5322377267391848,21.435685994746077
0.01,0.001,3,0.8181818181818182,0.5741946061344214,19.201853954831936
0.01,0.001,3,0.5625,0.5006862777064429,15.941616922481716
0.01,0.001,3,0.6428571428571429,0.534316323172116,12.698779601306896
0.01,0.001,3,0.7142857142857143,0.5185090174600566,17.102848553121312
0.01,0.001,4,0.8181818181818182,0.49102639455567404,15.73843057062928
0.01,0.001,4,0.75,0.5568100548247956,14.493677450083155
0.01,0.001,4,0.8181818181818182,0.5263391592962015,8.548203209894472
0.01,0.001,4,0.9,0.4952100071234999,12.072976907520726
0.01,0.001,4,0.75,0.46565099533331944,13.882039247037566
0.01,0.001,4,0.8181818181818182,0.5211953605000582,12.138733862541343
0.01,0.001,4,0.7272727272727273,0.5316207645647568,6.689347324079368
0.01,0.001,4,0.75,0.4903510419063816,10.585462276898802
0.01,0.001,4,0.6666666666666666,0.5261354310958577,13.540570476682635
0.01,0.001,4,0.7272727272727273,0.523718264312609,8.390731515881251
0.01,0.001,5,0.6923076923076923,0.5470593928032274,20.836332587321387
0.01,0.001,5,0.625,0.5457270927287803,28.56168387694886
0.01,0.001,5,0.6,0.4699500923466317,25.26744275141505
0.01,0.001,5,0.7142857142857143,0.5084587166142169,19.907992790478694
0.01,0.001,5,0.6923076923076923,0.5415599034727984,24.036186617339844
0.01,0.001,5,0.8181818181818182,0.499017382720045,19.78011103320429
0.01,0.001,5,0.8181818181818182,0.5579908000696331,20.070874370821713
0.01,0.001,5,0.6,0.4779403406075401,27.031103470199277
0.01,0.001,5,0.6,0.5320499273438697,21.999155851819495
0.01,0.001,5,0.6923076923076923,0.4885467128322758,26.31504032438657
0.01,0.001,6,0.6923076923076923,0.5377112442954207,14.340133553218202
0.01,0.001,6,0.6923076923076923,0.5277671171241435,15.880497582223567
0.01,0.001,6,0.6923076923076923,0.5464897932348376,13.659994821714994
0.01,0.001,6,0.5714285714285714,0.48582610373992957,29.077900298136058
0.01,0.001,6,0.8181818181818182,0.5005543968725695,9.06302620354017
0.01,0.001,6,0.8181818181818182,0.5030175254877266,6.145400455500344
