baseline_mse,knot_count,latent_index,method,noise_sigma,repetition,target_knot_f1
0.06291642118384956,9,4,hcrd_quadratic_guided,0.01,3,0.7142857142857143
0.9680578737026347,80,4,hcrd_raw,0.01,4,0.1647058823529412
0.06809790653198242,2,4,hcrd_robust,0.01,4,0.0
0.07059509993908172,11,4,hcrd_gaussian_guided,0.01,4,0.6250000000000001
0.07030290496133226,11,4,hcrd_adaptive_guided,0.01,4,0.6250000000000001
0.062494977037212816,9,4,hcrd_quadratic_guided,0.01,4,0.7142857142857143
0.9996343659006078,101,4,hcrd_raw,0.01,5,0.1320754716981132
0.06793428127544611,2,4,hcrd_robust,0.01,5,0.0
0.07181713103692072,11,4,hcrd_gaussian_guided,0.01,5,0.6250000000000001
0.07179931201971802,11,4,hcrd_adaptive_guided,0.01,5,0.6250000000000001
0.06297469158417404,9,4,hcrd_quadratic_guided,0.01,5,0.7142857142857143
0.9914543300738246,90,4,hcrd_raw,0.01,6,0.1263157894736842
0.06785950569993081,2,4,hcrd_robust,0.01,6,0.0
0.07070767769392286,11,4,hcrd_gaussian_guided,0.01,6,0.6250000000000001
0.07059446349409856,11,4,hcrd_adaptive_guided,0.01,6,0.6250000000000001
0.06311822788405323,9,4,hcrd_quadratic_guided,0.01,6,0.7142857142857143
0.9895163680024994,100,4,hcrd_raw,0.01,7,0.13333333333333333
0.0677064161817814,2,4,hcrd_robust,0.01,7,0.0
0.07506532981275472,11,4,hcrd_gaussian_guided,0.01,7,0.5
0.07504616206469458,11,4,hcrd_adaptive_guided,0.01,7,0.5
0.0633778481896179,9,4,hcrd_quadratic_guided,0.01,7,0.7142857142857143
0.9951851301529689,93,4,hcrd_raw,0.01,8,0.1020408163265306
0.06815561497100373,2,4,hcrd_robust,0.01,8,0.0
0.07214443962592874,11,4,hcrd_gaussian_guided,0.01,8,0.5
0.07197262053688822,11,4,hcrd_adaptive_guided,0.01,8,0.5
0.06293589855464911,9,4,hcrd_quadratic_guided,0.01,8,0.7142857142857143
0.9957358209279655,95,4,hcrd_raw,0.01,9,0.12
0.0682209513860071,2,4,hcrd_robust,0.01,9,0.0
0.06776310838455614,11,4,hcrd_gaussian_guided,0.01,9,0.6250000000000001
0.06775962041809189,11,4,hcrd_adaptive_guided,0.01,9,0.6250000000000001
0.06309701411816526,9,4,hcrd_quadratic_guided,0.01,9,0.7142857142857143
0.7689855019983735,97,5,hcrd_raw,0.01,0,0.1372549019607843
0.4987877287765727,2,5,hcrd_robust,0.01,0,0.0
0.03925031061004718,11,5,hcrd_gaussian_guided,0.01,0,0.6250000000000001
0.0392436482946577,11,5,hcrd_adaptive_guided,0.01,0,0.6250000000000001
0.0244629223846132,9,5,hcrd_quadratic_guided,0.01,0,1.0
0.822673079370893,107,5,hcrd_raw,0.01,1,0.125
0.510173532170067,2,5,hcrd_robust,0.01,1,0.0
0.04339512194595125,11,5,hcrd_gaussian_guided,0.01,1,0.5
0.03440176719832066,9,5,hcrd_adaptive_guided,0.01,1,0.5714285714285714
0.02435654230845399,9,5,hcrd_quadratic_guided,0.01,1,1.0
0.8137734725606804,97,5,hcrd_raw,0.01,2,0.1372549019607843
1.6236316340247032,3,5,hcrd_robust,0.01,2,0.0
0.03397276358608785,11,5,hcrd_gaussian_guided,0.01,2,0.75
0.0338665478503848,11,5,hcrd_adaptive_guided,0.01,2,0.75
0.02454533749052514,9,5,hcrd_quadratic_guided,0.01,2,1.0
0.82360046979034,105,5,hcrd_raw,0.01,3,0.12727272727272726
0.5018866511841563,2,5,hcrd_robust,0.01,3,0.0
0.03912609323817672,11,5,hcrd_gaussian_guided,0.01,3,0.6250000000000001
0.03339139822246392,11,5,hcrd_adaptive_guided,0.01,3,0.75
0.024929577564184312,9,5,hcrd_quadratic_guided,0.01,3,1.0
0.8196563946168528,99,5,hcrd_raw,0.01,4,0.11538461538461539
0.49187583718747085,2,5,hcrd_robust,0.01,4,0.0
0.03414364332872506,11,5,hcrd_gaussian_guided,0.01,4,0.75
0.02842980164411461,10,5,hcrd_adaptive_guided,0.01,4,0.7999999999999999
0.02438318007588289,9,5,hcrd_quadratic_guided,0.01,4,1.0
0.8050664850077394,100,5,hcrd_raw,0.01,5,0.13333333333333333
