noise_sigma,ratio,regularization,latent_index,repetition,baseline_mse,guide_mse,target_knot_f1,knot_count
0.03,3.0,0.09,3,0,0.3739723262292218,0.6351875635409989,0.0,9
0.03,3.0,0.09,3,1,0.43392290675982026,0.644879651840546,0.0,9
0.03,3.0,0.09,3,2,0.28238632713306516,0.6378442184746763,0.0,9
0.03,3.0,0.09,3,3,0.46847085143851724,0.6393446013091875,0.0,9
0.03,3.0,0.09,3,4,0.251023220941342,0.6383875771280988,0.0,9
0.03,3.0,0.09,4,0,0.47391582953560824,0.9238575158339409,0.0,9
0.03,3.0,0.09,4,1,0.588741384369743,0.9224991174807208,0.0,9
0.03,3.0,0.09,4,2,0.4465956478395745,0.914043919338041,0.0,9
0.03,3.0,0.09,4,3,0.45432819608404,0.9181099890154564,0.0,9
0.03,3.0,0.09,4,4,0.6438008499977713,0.9254757052787855,0.0,9
0.03,3.0,0.09,5,0,0.32700018178318835,0.7507939155067039,0.0,9
0.03,3.0,0.09,5,1,0.5431800125687312,0.7433062554601676,0.0,9
0.03,3.0,0.09,5,2,0.2915402578663972,0.7449938975854686,0.0,9
0.03,3.0,0.09,5,3,0.395516916518273,0.7489411602911361,0.0,9
0.03,3.0,0.09,5,4,0.36869704464490116,0.7453808051487778,0.0,9
0.03,3.0,0.09,6,0,0.3274870054379977,0.7524451792132867,0.0,9
0.03,3.0,0.09,6,1,0.3318928105467779,0.7540203085590615,0.0,9
0.03,3.0,0.09,6,2,0.8507796952826584,0.7560549313897075,0.0,9
0.03,3.0,0.09,6,3,0.8307009422099462,0.7515797906274966,0.0,9
0.03,3.0,0.09,6,4,1.0769885979812168,0.75562364293023,0.0,9
0.03,3.0,0.09,7,0,0.5770772664315953,0.7295412318488913,0.0,9
0.03,3.0,0.09,7,1,0.545232171409309,0.7256202430811103,0.0,9
0.03,3.0,0.09,7,2,0.5630344007402378,0.7261538512301051,0.0,9
0.03,3.0,0.09,7,3,0.8117077988011614,0.7256698454342164,0.0,9
0.03,3.0,0.09,7,4,0.43825584376782234,0.728117386000676,0.0,9
0.03,10.0,0.3,0,0,0.6927007190980806,0.8072523444236779,0.0,9
0.03,10.0,0.3,0,1,0.4975019936222169,0.80170066411986,0.0,9
0.03,10.0,0.3,0,2,1.0071052042776936,0.7988821889824921,0.0,9
0.03,10.0,0.3,0,3,0.5704086589852468,0.8041943368885728,0.0,9
0.03,10.0,0.3,0,4,0.5651208104995822,0.7976301431027989,0.0,9
0.03,10.0,0.3,1,0,0.45287988971797155,0.6075848406916803,0.0,9
0.03,10.0,0.3,1,1,0.4427705002133738,0.6060959567081298,0.0,9
0.03,10.0,0.3,1,2,0.6164079173168767,0.5982909269425307,0.0,9
0.03,10.0,0.3,1,3,0.4170823577253493,0.6065452962351087,0.0,9
0.03,10.0,0.3,1,4,0.778912680095941,0.6059192976192087,0.0,9
0.03,10.0,0.3,2,0,0.5955038411029908,0.7405162445217504,0.0,9
0.03,10.0,0.3,2,1,0.6119956386064289,0.7396830360297684,0.0,9
0.03,10.0,0.3,2,2,0.541874082174383,0.7341017160402008,0.0,9
