noise_sigma,ratio,regularization,latent_index,first_repetition,second_repetition,knot_jaccard,guide_l2_ratio,hcrd_baseline_l2_ratio
0.01,10.0,0.1,3,3,4,0.38461538461538464,0.47513856797274096,62.7432041367043
0.01,10.0,0.1,4,0,1,0.5,0.5342446218761673,68.57095030383991
0.01,10.0,0.1,4,0,2,0.6363636363636364,0.538539784553584,59.16989579985959
0.01,10.0,0.1,4,0,3,0.6363636363636364,0.5639634959473458,48.84092745272257
0.01,10.0,0.1,4,0,4,0.2857142857142857,0.5484865381079886,84.9024885268887
0.01,10.0,0.1,4,1,2,0.8,0.5106103626567726,31.41060581986115
0.01,10.0,0.1,4,1,3,0.2857142857142857,0.5743299707193418,85.21292602435962
0.01,10.0,0.1,4,1,4,0.2,0.5450747167957478,115.37702583313147
0.01,10.0,0.1,4,2,3,0.38461538461538464,0.5168259351005601,77.0717116704541
0.01,10.0,0.1,4,2,4,0.125,0.5144281548972227,121.21731291611235
0.01,10.0,0.1,4,3,4,0.5,0.510715218679957,72.3099933988025
0.01,10.0,0.1,5,0,1,0.6363636363636364,0.5197265595801467,63.41432348856117
0.01,10.0,0.1,5,0,2,0.5,0.573205139328904,64.6685468823923
0.01,10.0,0.1,5,0,3,0.5,0.5329979037791761,59.60974690934793
0.01,10.0,0.1,5,0,4,0.38461538461538464,0.5308393154803389,67.60021947672469
0.01,10.0,0.1,5,1,2,0.5,0.5108249312637925,70.38845940094586
0.01,10.0,0.1,5,1,3,0.5,0.5571856516552939,50.15894080430446
0.01,10.0,0.1,5,1,4,0.38461538461538464,0.4597231046665042,79.54881010620988
0.01,10.0,0.1,5,2,3,0.6363636363636364,0.5479902461737767,63.92593042581183
0.01,10.0,0.1,5,2,4,0.8,0.5073815367344898,21.53636401423744
0.01,10.0,0.1,5,3,4,0.5,0.5183665538058866,72.45505702511514
0.01,10.0,0.1,6,0,1,0.38461538461538464,0.574663818630023,64.60356074024837
0.01,10.0,0.1,6,0,2,0.6363636363636364,0.507840414799041,22.349078628990956
0.01,10.0,0.1,6,0,3,0.6363636363636364,0.5514519545649456,61.17193022674846
0.01,10.0,0.1,6,0,4,0.5,0.5297942776438795,66.36198267015196
0.01,10.0,0.1,6,1,2,0.38461538461538464,0.5654209490619266,61.57114345157458
