noise_sigma,regularization,latent_index,repetition,baseline_mse,guide_mse,target_knot_f1,knot_count
0.01,1.0,2,0,0.05294717193895038,0.5718376908499287,0.5714285714285714,9
0.01,1.0,2,1,0.0531888495058373,0.5738050524589218,0.5714285714285714,9
0.01,1.0,2,2,0.05270552732486237,0.5724876247470208,0.5714285714285714,9
0.01,1.0,2,3,0.05287297584671602,0.5727370504634892,0.5714285714285714,9
0.01,1.0,2,4,0.052863107041849745,0.5716229347075912,0.5714285714285714,9
0.01,1.0,3,0,0.15580461566111214,0.8191197589906805,0.42857142857142855,9
0.01,1.0,3,1,0.15473509117384057,0.8173544919590395,0.42857142857142855,9
0.01,1.0,3,2,0.15525334902495083,0.818514970913418,0.42857142857142855,9
0.01,1.0,3,3,0.15586497758041498,0.819939101850801,0.42857142857142855,9
0.01,1.0,3,4,0.1562996804990288,0.8197228194533737,0.42857142857142855,9
0.01,1.0,4,0,0.029455784871737202,0.6631469429725049,0.8571428571428571,9
0.01,1.0,4,1,0.029823586627593112,0.663282615061465,0.8571428571428571,9
0.01,1.0,4,2,0.030047397602676214,0.663558352839206,0.8571428571428571,9
0.01,1.0,4,3,0.03011052646859521,0.6631242218368074,0.8571428571428571,9
0.01,1.0,4,4,0.030111052216664522,0.6634774184231804,0.8571428571428571,9
0.01,1.0,5,0,0.11770354261993801,0.6660885504036641,0.5714285714285714,9
0.01,1.0,5,1,0.11853649592502455,0.6682874167066756,0.5714285714285714,9
0.01,1.0,5,2,0.11783805112007618,0.6686611280884415,0.5714285714285714,9
0.01,1.0,5,3,0.11866339707562927,0.6675176589210007,0.5714285714285714,9
0.01,1.0,5,4,0.11748711993146298,0.6676146346364014,0.5714285714285714,9
0.01,1.0,6,0,0.07025483863283215,0.6449196859903299,0.5714285714285714,9
0.01,1.0,6,1,0.0703982347805454,0.6443679309473015,0.5714285714285714,9
0.01,1.0,6,2,0.06991920394560616,0.6438357221454637,0.5714285714285714,9
0.01,1.0,6,3,0.07077218433951141,0.6452277947744267,0.5714285714285714,9
0.01,1.0,6,4,0.07012838196653295,0.6443066097582041,0.5714285714285714,9
0.01,1.0,7,0,0.03985216741921653,0.6678465980960552,0.7142857142857143,9
0.01,1.0,7,1,0.040542203652031615,0.667262358128403,0.7142857142857143,9
0.01,1.0,7,2,0.03998861065127609,0.6685878918995111,0.7142857142857143,9
0.01,1.0,7,3,0.04004620776035406,0.6691225970534597,0.7142857142857143,9
0.01,1.0,7,4,0.040713941388493775,0.6678752343720794,0.7142857142857143,9
0.01,3.0,0,0,0.09864224697876242,0.46129049230623664,0.2857142857142857,9
0.01,3.0,0,1,0.09837159020709807,0.4614128179038713,0.2857142857142857,9
0.01,3.0,0,2,0.0986969833093131,0.461496742807121,0.2857142857142857,9
0.01,3.0,0,3,0.09884342488548181,0.4608953837996968,0.2857142857142857,9
0.01,3.0,0,4,0.0984355660819618,0.4610958929914678,0.2857142857142857,9
0.01,3.0,1,0,0.05168178492437927,0.5694119537522598,1.0,9
0.01,3.0,1,1,0.05148541839550582,0.5722577658789216,1.0,9
0.01,3.0,1,2,0.05431411691732972,0.5713930555891629,0.8571428571428571,9
