noise_sigma,regularization,latent_index,knot_jaccard,guide_l2_ratio,hcrd_baseline_l2_ratio
0.01,10.0,0,1.0,0.1579934409411455,0.15468744634107703
0.01,10.0,0,1.0,0.24275281844463437,0.2464776222231179
0.01,10.0,0,1.0,0.2792047915713421,0.28366360685173164
0.01,10.0,0,1.0,0.17028361436879713,0.17195826530635885
0.01,10.0,1,1.0,0.2880045476611348,0.25786710134888824
0.01,10.0,1,1.0,0.13550357789184608,0.1144923321318674
0.01,10.0,1,1.0,0.1846168837879649,0.15657485062654325
0.01,10.0,1,1.0,0.17942585484191437,0.15429089908871624
0.01,10.0,1,1.0,0.21876595372682234,0.19483216945168202
0.01,10.0,1,1.0,0.20090230501218215,0.18732913803847923
0.01,10.0,1,1.0,0.18679222516329436,0.16356033704882025
0.01,10.0,1,1.0,0.14193805144259694,0.12012316362485342
0.01,10.0,1,1.0,0.13892194506866426,0.11977423676737409
0.01,10.0,1,1.0,0.18133667028678496,0.1685603862182945
0.01,10.0,2,1.0,0.17707666945216713,0.13650923572636564
0.01,10.0,2,1.0,0.12477606863230185,0.09752885653595622
0.01,10.0,2,1.0,0.20340648527814523,0.16834975809726177
0.01,10.0,2,1.0,0.19001347819311096,0.15114726486199181
0.01,10.0,2,1.0,0.16734541155621932,0.16560402229675825
0.01,10.0,2,1.0,0.13957456635125473,0.1484594311491262
0.01,10.0,2,1.0,0.17352542467013862,0.12669612025006957
0.01,10.0,2,1.0,0.1502511763289524,0.1292987144066159
0.01,10.0,2,1.0,0.18717093837889692,0.1296325256068657
0.01,10.0,2,1.0,0.18104444892225663,0.1535823957241995
0.01,10.0,3,1.0,0.15358699635563663,0.13332185951070039
0.01,10.0,3,1.0,0.14884839215820936,0.15656360340644596
0.01,10.0,3,1.0,0.12490126515306683,0.09528561817933212
0.01,10.0,3,1.0,0.22121346678219064,0.20194169278403104
0.01,10.0,3,1.0,0.18349502285141575,0.17633303207106077
0.01,10.0,3,1.0,0.1540475927317001,0.14001992364758192
0.01,10.0,3,1.0,0.25957599703243234,0.23993393529320167
0.01,10.0,3,1.0,0.16795408896894048,0.1709543484437736
0.01,10.0,3,1.0,0.1979394122749727,0.18465010541878282
0.01,10.0,3,1.0,0.21427185988803832,0.18377946082438393
0.01,10.0,4,1.0,0.11706119627140452,0.11270276221674445
0.01,10.0,4,1.0,0.20410857244027428,0.19823991039136588
0.01,10.0,4,1.0,0.17554409001564894,0.15800749153522423
0.01,10.0,4,1.0,0.15196384299890212,0.15080621589963633
0.01,10.0,4,1.0,0.1432708786114736,0.13099074096948352
0.01,10.0,4,1.0,0.14668612131848205,0.12794099456516617
0.01,10.0,4,1.0,0.16900511755459,0.15260264062376047
0.01,10.0,4,1.0,0.1226226924212887,0.11214791477450968
0.01,10.0,4,1.0,0.16529945737890145,0.1663414670515339
0.01,10.0,4,1.0,0.17564692503659463,0.1576007192810044
0.01,10.0,5,1.0,0.23654967523128947,0.19592112632094552
0.01,10.0,5,1.0,0.190253005627659,0.1415118910981497
0.01,10.0,5,1.0,0.15330236598128827,0.1333456449704901
0.01,10.0,5,1.0,0.16997695331829812,0.1396259924678514
0.01,10.0,5,1.0,0.19457942904617348,0.17649298856801557
0.01,10.0,5,1.0,0.17326745185159398,0.16006842503923777
0.01,10.0,5,1.0,0.2341393305873023,0.19581599206649658
0.01,10.0,5,1.0,0.14295811502499509,0.12076576738731731
0.01,10.0,5,1.0,0.1499298096034431,0.14379018400379476
0.01,10.0,5,1.0,0.2064870763074088,0.19627171012310635
0.01,10.0,6,1.0,0.17965875092552783,0.1623903174965745
0.01,10.0,6,1.0,0.13334740441642715,0.08708358358458171
0.01,10.0,6,1.0,0.1873502609049248,0.19369326823640873
0.01,10.0,6,1.0,0.14490123156959106,0.12448744143433796
0.01,10.0,6,1.0,0.16326438756323358,0.15215787572939846
0.01,10.0,6,1.0,0.12511645185911777,0.12319076885895269
0.01,10.0,6,1.0,0.18677672061722234,0.16328029810376013
0.01,10.0,6,1.0,0.18479472960178353,0.19227840468379315
0.01,10.0,6,1.0,0.21630009057228317,0.17911828414928954
0.01,10.0,6,1.0,0.2099490119539445,0.19172101481459566
0.01,10.0,7,1.0,0.15149523847765403,1.4564683771819178
0.01,10.0,7,1.0,0.18647933981088954,1.441335807522538
0.01,10.0,7,1.0,0.23409812255536036,1.4912521996433277
0.01,10.0,7,1.0,0.22690577166303486,1.4443564710801355
0.01,10.0,7,1.0,0.16612620984838958,0.1457525084421409
0.01,10.0,7,1.0,0.17048795863116434,0.14139275971508233
0.01,10.0,7,1.0,0.1191389021152789,0.11593970748385689
0.01,10.0,7,1.0,0.18315908811968487,0.16815152572999462
0.01,10.0,7,1.0,0.19143625357680555,0.17900414037886558
0.01,10.0,7,1.0,0.17843544657223193,0.17236656150510948
0.03,0.3,0,1.0,0.2734116775500593,1.0606184909965441
0.03,0.3,0,1.0,0.261526851039041,0.22458976988717683
0.03,0.3,0,1.0,0.25706275486598,0.20603803706830018
0.03,0.3,0,1.0,0.2648662151524668,0.7144508607585373
0.03,0.3,0,1.0,0.2719097008510618,0.9269277597602414
0.03,0.3,0,1.0,0.24314028585479935,1.0497138966037167
0.03,0.3,0,1.0,0.2892969584976532,0.682867747804863
0.03,0.3,0,1.0,0.2532726510969623,0.22898197968483924
0.03,0.3,0,1.0,0.23088243360575925,0.618726376360364
0.03,0.3,0,1.0,0.2674998382824798,0.7372557954699063
0.03,0.3,1,1.0,0.2789112237591319,1.0514869374531237
0.03,0.3,1,1.0,0.2650032425125956,1.2602331670915572
0.03,0.3,1,1.0,0.2332821103650971,1.4667824334248252
0.03,0.3,1,1.0,0.2630875785940724,1.472080972541798
0.03,0.3,1,1.0,0.3568064191799288,1.2570863779811514
0.03,0.3,1,1.0,0.31658984766351883,1.0451056481230319
0.03,0.3,1,1.0,0.34567434337878705,1.098413239471446
0.03,0.3,1,1.0,0.23698098642855778,1.624379406382061
0.03,0.3,1,1.0,0.2896474785493019,1.735594282161489
0.03,0.3,1,1.0,0.23527968447154732,0.15059853486973315
0.03,0.3,2,1.0,0.2719952802724865,0.2623902381258656
0.03,0.3,2,1.0,0.23034947027049743,1.1365748837990104
0.03,0.3,2,1.0,0.2278588116477979,0.9181551996499434
0.03,0.3,2,1.0,0.23727077439942199,0.18133695208748182
0.03,0.3,2,1.0,0.2215034525747161,1.005821112542029
0.03,0.3,2,1.0,0.22592239540087627,0.8509455628917194
0.03,0.3,2,1.0,0.28518283807751377,0.22988971093546465
0.03,0.3,2,1.0,0.177839336428125,0.6809037857131938
0.03,0.3,2,1.0,0.27491583979898176,1.0392035686900145
0.03,0.3,2,1.0,0.24268056620963696,0.8306195791981624
0.03,0.3,3,1.0,0.2508989373675097,0.79674790475957
