dataset,assignment,train_size,test_size,length,class_count,method,accuracy,balanced_accuracy,macro_f1,transform_seconds,head_fit_seconds,head_predict_seconds,feature_count,representation_seconds
SemgHandMovementCh2,discovery,450,450,1500,6,wavelet_minirocket,0.6355555555555555,0.6355555555555555,0.6347781792948713,15.557647899957374,0.27579049998894334,0.013320500031113625,9996,0.41734089993406087
SemgHandMovementCh2,discovery,450,450,1500,6,hcrd_minirocket,0.4711111111111111,0.4711111111111111,0.47244181135162694,14.786331499926746,0.26547630003187805,0.013906599953770638,9996,93.2353698000079
SemgHandMovementCh2,discovery,450,450,1500,6,hcrd_energy,0.32222222222222224,0.32222222222222224,0.3185982161881349,0.0,0.029329400043934584,0.0007464999798685312,85,93.2353698000079
SemgHandMovementCh2,discovery,450,450,1500,6,hcrd_structure,0.3377777777777778,0.3377777777777778,0.3363412203343827,0.0,0.12103549996390939,0.0018814000068232417,595,93.2353698000079
SemgHandMovementCh2,discovery,450,450,1500,6,hcrd_hybrid,0.4577777777777778,0.45777777777777784,0.4575940062802019,14.786331499926746,0.21969670010730624,0.023758499999530613,10591,93.2353698000079
SemgHandSubjectCh2,discovery,450,450,1500,5,raw_minirocket,0.8711111111111111,0.8711111111111112,0.8701209566408383,0.7445947000524029,0.2629192000022158,0.01286630006507039,9996,0.05634349992033094
SemgHandSubjectCh2,discovery,450,450,1500,5,wavelet_minirocket,0.8955555555555555,0.8955555555555555,0.8955237707387995,11.705950999981724,0.2270426000468433,0.011650300002656877,9996,0.601370400050655
SemgHandSubjectCh2,discovery,450,450,1500,5,hcrd_minirocket,0.7933333333333333,0.7933333333333333,0.7908567806876226,11.6559636000311,0.22764259995892644,0.012543800054118037,9996,68.22942730004434
SemgHandSubjectCh2,discovery,450,450,1500,5,hcrd_energy,0.58,0.5800000000000001,0.561179712173125,0.0,0.02568640001118183,0.00048719998449087143,85,68.22942730004434
SemgHandSubjectCh2,discovery,450,450,1500,5,hcrd_structure,0.6511111111111111,0.6511111111111111,0.6396176132901246,0.0,0.09048020001500845,0.0018736999481916428,595,68.22942730004434
SemgHandSubjectCh2,discovery,450,450,1500,5,hcrd_hybrid,0.7955555555555556,0.7955555555555555,0.7926433399371623,11.6559636000311,0.1912157000042498,0.021231699967756867,10591,68.22942730004434
SmallKitchenAppliances,discovery,375,375,720,3,raw_minirocket,0.8426666666666667,0.8426666666666667,0.8426613046436332,0.3771261000074446,0.23304759990423918,0.011722000082954764,9996,0.022671000100672245
SmallKitchenAppliances,discovery,375,375,720,3,wavelet_minirocket,0.8186666666666667,0.8186666666666668,0.8182687766261422,1.890769699937664,0.20142049994319677,0.012639400083571672,9996,0.22491240000817925
