record,method,beats,failure_rate,mean_joint_absolute_error_ms,mean_onset_absolute_error_ms,mean_offset_absolute_error_ms
sel803,learned_level1,30,0.0,8.066666666666666,10.0,6.133333333333334
sel803,learned_multilevel,30,0.0,7.4,8.4,6.4
sel803,official_pu0,30,0.0,6.0,6.133333333333334,5.866666666666666
sel803,official_pu1,30,0.0,13.533333333333333,12.266666666666667,14.8
sel803,pilot_constant,30,0.0,12.4,14.8,10.0
sel808,learned_level1,30,0.0,9.8,8.666666666666666,10.933333333333334
sel808,learned_multilevel,30,0.0,10.733333333333333,13.066666666666666,8.4
sel808,official_pu0,30,0.0,5.266666666666667,4.533333333333333,6.0
sel808,official_pu1,30,0.0,16.2,6.933333333333334,25.466666666666665
sel808,pilot_constant,30,0.0,13.466666666666667,14.933333333333334,12.0
sel811,learned_level1,30,0.0,12.6,16.133333333333333,9.066666666666666
sel811,learned_multilevel,30,0.0,12.133333333333333,15.6,8.666666666666666
sel811,official_pu0,30,0.0,15.266666666666667,21.6,8.933333333333334
sel811,official_pu1,30,0.0,21.8,15.333333333333334,28.266666666666666
sel811,pilot_constant,30,0.0,10.4,13.333333333333334,7.466666666666667
sel820,learned_level1,30,0.0,9.266666666666667,10.933333333333334,7.6
sel820,learned_multilevel,30,0.0,8.8,10.4,7.2
sel820,official_pu0,30,0.0,6.933333333333334,7.066666666666666,6.8
sel820,official_pu1,30,0.0,14.266666666666667,13.066666666666666,15.466666666666667
sel820,pilot_constant,30,0.0,10.666666666666666,9.2,12.133333333333333
sel821,learned_level1,30,0.0,8.533333333333333,8.266666666666667,8.8
sel821,learned_multilevel,30,0.0,11.066666666666666,9.2,12.933333333333334
sel821,official_pu0,30,0.0,11.933333333333334,16.0,7.866666666666666
sel821,official_pu1,30,0.0,5.533333333333333,7.333333333333333,3.7333333333333334
sel821,pilot_constant,30,0.0,11.8,7.333333333333333,16.266666666666666
sel853,learned_level1,30,0.0,8.0,8.533333333333333,7.466666666666667
sel853,learned_multilevel,30,0.0,5.333333333333333,4.0,6.666666666666667
sel853,official_pu0,30,0.0,17.733333333333334,30.266666666666666,5.2
sel853,official_pu1,30,0.0,10.4,15.466666666666667,5.333333333333333
sel853,pilot_constant,30,0.0,9.733333333333333,9.733333333333333,9.733333333333333
sel871,learned_level1,70,0.0,17.4,26.0,8.8
sel871,learned_multilevel,70,0.0,17.02857142857143,26.17142857142857,7.885714285714286
sel871,official_pu0,70,0.0,8.571428571428571,6.8,10.342857142857143
sel871,official_pu1,70,0.0,8.742857142857142,9.942857142857143,7.542857142857143
sel871,pilot_constant,70,0.0,20.285714285714285,32.8,7.771428571428571
sel872,learned_level1,30,0.0,8.466666666666667,12.0,4.933333333333334
sel872,learned_multilevel,30,0.0,7.6,10.666666666666666,4.533333333333333
sel872,official_pu0,30,0.0,5.866666666666666,7.2,4.533333333333333
sel872,official_pu1,30,0.0,11.8,10.266666666666667,13.333333333333334
sel872,pilot_constant,30,0.0,9.266666666666667,10.266666666666667,8.266666666666667
sel873,learned_level1,33,0.0,7.515151515151516,6.181818181818182,8.848484848484848
sel873,learned_multilevel,33,0.0,8.545454545454545,7.878787878787879,9.212121212121213
sel873,official_pu0,33,0.0,11.212121212121213,13.212121212121213,9.212121212121213
sel873,official_pu1,33,0.0,9.515151515151516,11.878787878787879,7.151515151515151
sel873,pilot_constant,33,0.0,6.0,6.666666666666667,5.333333333333333
sel883,learned_level1,30,0.0,7.933333333333334,6.0,9.866666666666667
sel883,learned_multilevel,30,0.0,8.266666666666667,6.133333333333334,10.4
sel883,official_pu0,30,0.0,9.6,8.933333333333334,10.266666666666667
sel883,official_pu1,30,0.0,10.533333333333333,14.8,6.266666666666667
sel883,pilot_constant,30,0.0,5.0,5.333333333333333,4.666666666666667
sel891,learned_level1,71,0.0,20.169014084507044,9.070422535211268,31.267605633802816
sel891,learned_multilevel,71,0.0,20.028169014084508,10.028169014084508,30.028169014084508
sel891,official_pu0,71,0.0,10.056338028169014,14.084507042253522,6.028169014084507
sel891,official_pu1,71,0.0,32.929577464788736,20.169014084507044,45.690140845070424
sel891,pilot_constant,71,0.0,23.098591549295776,7.323943661971831,38.87323943661972
sele0104,learned_level1,30,0.0,6.666666666666667,4.0,9.333333333333334
sele0104,learned_multilevel,30,0.0,5.933333333333334,4.8,7.066666666666666
sele0104,official_pu0,30,0.0,7.6,4.133333333333334,11.066666666666666
