record,beat_index,method,success,onset_error_ms,offset_error_ms,joint_absolute_error_ms
sel231,3,learned_multilevel,1,-12.0,-8.0,10.0
sel231,3,official_pu0,1,0.0,0.0,0.0
sel231,3,official_pu1,1,-24.0,0.0,12.0
sel231,4,pilot_constant,1,-4.0,-12.0,8.0
sel231,4,learned_level1,1,-4.0,4.0,4.0
sel231,4,learned_multilevel,1,-12.0,-4.0,8.0
sel231,4,official_pu0,1,-12.0,0.0,6.0
sel231,4,official_pu1,1,-24.0,0.0,12.0
sel231,5,pilot_constant,1,0.0,-20.0,10.0
sel231,5,learned_level1,1,0.0,-8.0,4.0
sel231,5,learned_multilevel,1,0.0,-12.0,6.0
sel231,5,official_pu0,1,-8.0,-4.0,6.0
sel231,5,official_pu1,1,-20.0,-4.0,12.0
sel231,6,pilot_constant,1,-16.0,-60.0,38.0
sel231,6,learned_level1,1,-16.0,-52.0,34.0
sel231,6,learned_multilevel,1,-12.0,-56.0,34.0
sel231,6,official_pu0,1,-8.0,-44.0,26.0
sel231,6,official_pu1,1,-36.0,-40.0,38.0
sel231,7,pilot_constant,1,0.0,-12.0,6.0
sel231,7,learned_level1,1,4.0,0.0,2.0
sel231,7,learned_multilevel,1,0.0,-4.0,2.0
sel231,7,official_pu0,1,-4.0,4.0,4.0
sel231,7,official_pu1,1,-16.0,4.0,10.0
sel231,8,pilot_constant,1,-4.0,-24.0,14.0
sel231,8,learned_level1,1,-4.0,-12.0,8.0
sel231,8,learned_multilevel,1,-12.0,-16.0,14.0
sel231,8,official_pu0,1,-12.0,-12.0,12.0
sel231,8,official_pu1,1,-24.0,-8.0,16.0
sel231,9,pilot_constant,1,-8.0,-12.0,10.0
sel231,9,learned_level1,1,-8.0,0.0,4.0
sel231,9,learned_multilevel,1,-8.0,-8.0,8.0
sel231,9,official_pu0,1,0.0,0.0,0.0
sel231,9,official_pu1,1,-24.0,4.0,14.0
sel231,10,pilot_constant,1,-8.0,-20.0,14.0
sel231,10,learned_level1,1,-8.0,-8.0,8.0
sel231,10,learned_multilevel,1,-8.0,-12.0,10.0
sel231,10,official_pu0,1,-16.0,4.0,10.0
sel231,10,official_pu1,1,-24.0,4.0,14.0
sel231,11,pilot_constant,1,-12.0,-12.0,12.0
sel231,11,learned_level1,1,-12.0,0.0,6.0
sel231,11,learned_multilevel,1,-20.0,-8.0,14.0
sel231,11,official_pu0,1,-20.0,-4.0,12.0
sel231,11,official_pu1,1,-32.0,-4.0,18.0
sel231,12,pilot_constant,1,0.0,-16.0,8.0
sel231,12,learned_level1,1,0.0,-8.0,4.0
sel231,12,learned_multilevel,1,4.0,-8.0,6.0
sel231,12,official_pu0,1,-8.0,4.0,6.0
sel231,12,official_pu1,1,-20.0,8.0,14.0
sel231,13,pilot_constant,1,4.0,-16.0,10.0
sel231,13,learned_level1,1,8.0,0.0,4.0
sel231,13,learned_multilevel,1,-4.0,-8.0,6.0
sel231,13,official_pu0,1,-4.0,0.0,2.0
sel231,13,official_pu1,1,-16.0,-4.0,10.0
sel231,14,pilot_constant,1,8.0,-8.0,8.0
sel231,14,learned_level1,1,8.0,4.0,6.0
sel231,14,learned_multilevel,1,8.0,0.0,4.0
sel231,14,official_pu0,1,0.0,4.0,2.0
sel231,14,official_pu1,1,-12.0,4.0,8.0
sel231,15,pilot_constant,1,-8.0,-16.0,12.0
sel231,15,learned_level1,1,-8.0,-12.0,10.0
sel231,15,learned_multilevel,1,-8.0,-12.0,10.0
sel231,15,official_pu0,1,-12.0,0.0,6.0
sel231,15,official_pu1,1,-28.0,0.0,14.0
sel231,16,pilot_constant,1,-8.0,-12.0,10.0
sel231,16,learned_level1,1,-4.0,4.0,4.0
sel231,16,learned_multilevel,1,-8.0,-4.0,6.0
sel231,16,official_pu0,1,-16.0,12.0,14.0
sel231,16,official_pu1,1,-32.0,8.0,20.0
sel231,17,pilot_constant,1,-4.0,-12.0,8.0
sel231,17,learned_level1,1,0.0,0.0,0.0
sel231,17,learned_multilevel,1,-4.0,-8.0,6.0
sel231,17,official_pu0,1,-12.0,0.0,6.0
sel231,17,official_pu1,1,-24.0,0.0,12.0
sel231,18,pilot_constant,1,-4.0,-20.0,12.0
sel231,18,learned_level1,1,0.0,-8.0,4.0
sel231,18,learned_multilevel,1,-4.0,-12.0,8.0
sel231,18,official_pu0,1,-12.0,0.0,6.0
sel231,18,official_pu1,1,-24.0,-4.0,14.0
sel231,19,pilot_constant,1,-8.0,-20.0,14.0
sel231,19,learned_level1,1,-8.0,-8.0,8.0
sel231,19,learned_multilevel,1,-8.0,-12.0,10.0
sel231,19,official_pu0,1,-16.0,0.0,8.0
sel231,19,official_pu1,1,-28.0,-4.0,16.0
sel231,20,pilot_constant,1,-20.0,8.0,14.0
sel231,20,learned_level1,1,-24.0,-4.0,14.0
sel231,20,learned_multilevel,1,-16.0,-8.0,12.0
sel231,20,official_pu0,1,-4.0,-24.0,14.0
sel231,20,official_pu1,1,-72.0,-4.0,38.0
sel231,21,pilot_constant,1,-4.0,28.0,16.0
sel231,21,learned_level1,1,-4.0,16.0,10.0
sel231,21,learned_multilevel,1,0.0,12.0,6.0
sel231,21,official_pu0,1,12.0,-4.0,8.0
sel231,21,official_pu1,1,-40.0,24.0,32.0
sel231,22,pilot_constant,1,-20.0,20.0,20.0
sel231,22,learned_level1,1,-24.0,16.0,20.0
sel231,22,learned_multilevel,1,-16.0,12.0,14.0
sel231,22,official_pu0,1,-4.0,-12.0,8.0
sel231,22,official_pu1,1,-52.0,4.0,28.0
sel231,23,pilot_constant,1,-12.0,16.0,14.0
sel231,23,learned_level1,1,-4.0,4.0,4.0
sel231,23,learned_multilevel,1,-16.0,4.0,10.0
sel231,23,official_pu0,1,-8.0,-12.0,10.0
sel231,23,official_pu1,1,-48.0,8.0,28.0
sel231,24,pilot_constant,1,-8.0,24.0,16.0
sel231,24,learned_level1,1,0.0,12.0,6.0
sel231,24,learned_multilevel,1,-4.0,8.0,6.0
sel231,24,official_pu0,1,-4.0,-4.0,4.0
sel231,24,official_pu1,1,-84.0,16.0,50.0
sel231,25,pilot_constant,1,-4.0,24.0,14.0
sel231,25,learned_level1,1,-4.0,12.0,8.0
