cell,signal,design,n,trial,method,target_left,target_right,confidence_left,confidence_right,confidence_width,covers_target,nontrivial,empty,joint_contrast_coverage,unexplained_empty,scale_upper,scale_ratio,scale_covers
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,46,known_sigma,0.3,0.3,0.7924151696606786,0.3992015968063872,nan,False,False,True,False,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,46,unknown_block_2,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,True,False,True,False,0.11287493358637633,1.1287493358637632,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,47,known_sigma,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,47,unknown_block_2,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,True,False,True,False,0.10552816698609956,1.0552816698609955,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,48,known_sigma,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,48,unknown_block_2,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,True,True,False,True,False,0.11134101728839647,1.1134101728839647,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,49,known_sigma,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,49,unknown_block_2,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,True,True,False,True,False,0.11231765947104122,1.1231765947104122,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,50,known_sigma,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,50,unknown_block_2,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,True,False,True,False,0.11072431549448536,1.1072431549448536,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,51,known_sigma,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,51,unknown_block_2,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,True,False,True,False,0.11235863667240678,1.1235863667240678,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,52,known_sigma,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,52,unknown_block_2,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,True,False,True,False,0.1105333562530917,1.1053335625309169,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,53,known_sigma,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,53,unknown_block_2,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,True,False,True,False,0.11612949299403075,1.1612949299403075,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,54,known_sigma,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,54,unknown_block_2,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,True,False,True,False,0.11365935897160898,1.1365935897160897,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,55,known_sigma,0.3,0.3,0.249500998003992,0.35129740518962077,0.10179640718562877,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,55,unknown_block_2,0.3,0.3,0.24151696606786427,0.36726546906187624,0.12574850299401197,True,True,False,True,False,0.10979173657579734,1.0979173657579733,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,56,known_sigma,0.3,0.3,0.24151696606786427,0.36726546906187624,0.12574850299401197,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,56,unknown_block_2,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,True,False,True,False,0.1204420539719296,1.204420539719296,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,57,known_sigma,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,57,unknown_block_2,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,True,False,True,False,0.11218537475765075,1.1218537475765074,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,58,known_sigma,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,58,unknown_block_2,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,True,False,True,False,0.11614356978089219,1.1614356978089218,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,59,known_sigma,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,59,unknown_block_2,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,True,True,False,True,False,0.11282267950076875,1.1282267950076874,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,60,known_sigma,0.3,0.3,0.25748502994011974,0.36726546906187624,0.1097804391217565,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,60,unknown_block_2,0.3,0.3,0.25748502994011974,0.4151696606786427,0.15768463073852296,True,True,False,True,False,0.10809664949842204,1.0809664949842204,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,61,known_sigma,0.3,0.3,0.1936127744510978,0.3992015968063872,0.2055888223552894,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,61,unknown_block_2,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,True,True,False,True,False,0.1032079592300856,1.0320795923008559,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,62,known_sigma,0.3,0.3,0.22554890219560877,0.3273453093812375,0.10179640718562874,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,62,unknown_block_2,0.3,0.3,0.22554890219560877,0.3273453093812375,0.10179640718562874,True,True,False,True,False,0.10994465759712493,1.0994465759712493,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,63,known_sigma,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,63,unknown_block_2,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,True,False,True,False,0.11611757513990373,1.1611757513990373,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,64,known_sigma,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,64,unknown_block_2,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,True,False,True,False,0.11317601391180986,1.1317601391180985,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,65,known_sigma,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,True,False,True,False,0.1,1.0,True
